HDI_rank,Human_developpement_level,country,Intentional_homicides_per_100000_people_2004,Prison_population_Total_2007,Prison_population_per_100000_2007,Prison_population_Female_%_of_total,Year_in_which_countries_have_partially_or_completely_abolished_the_death_penalty
73,MEDIUM,Kazakhstan,16.8,49292.0,340.0,7.0,
74,MEDIUM,Venezuela (Bolivarian Republic of),33.2,19853.0,74.0,6.0,1863.0
75,MEDIUM,Colombia,62.7,62216.0,134.0,6.0,1910.0
76,MEDIUM,Ukraine,7.4,165716.0,356.0,6.0,1999.0
77,MEDIUM,Samoa,,223.0,123.0,9.0,2004.0
78,MEDIUM,Thailand,8.5,164443.0,256.0,17.0,
79,MEDIUM,Dominican Republic,,12725.0,143.0,3.0,1966.0
80,MEDIUM,Belize,,1359.0,487.0,2.0,
81,MEDIUM,China,2.1,1548498.0,118.0,5.0,
82,MEDIUM,Grenada,,237.0,265.0,1.0,1978.0
83,MEDIUM,Armenia,2.5,2879.0,89.0,3.0,2003.0
84,MEDIUM,Turkey,3.8,65458.0,91.0,3.0,2004.0
85,MEDIUM,Suriname,10.3,1600.0,356.0,6.0,1982.0
86,MEDIUM,Jordan,0.9,5589.0,104.0,2.0,
87,MEDIUM,Peru,5.5,35642.0,126.0,7.0,1979.0
88,MEDIUM,Lebanon,5.7,5971.0,168.0,4.0,
89,MEDIUM,Ecuador,18.3,12251.0,93.0,11.0,1906.0
90,MEDIUM,Philippines,4.3,89639.0,108.0,8.0,2006.0
91,MEDIUM,Tunisia,1.2,26000.0,263.0,,1991.0
92,MEDIUM,Fiji,1.7,1113.0,131.0,2.0,1979.0
93,MEDIUM,Saint Vincent and the Grenadines,,367.0,312.0,3.0,
94,MEDIUM,Iran (Islamic Republic of),2.9,147926.0,214.0,4.0,
95,MEDIUM,Paraguay,12.6,5063.0,86.0,5.0,1992.0
96,MEDIUM,Georgia,6.2,11731.0,276.0,2.0,1997.0
97,MEDIUM,Guyana,13.8,1524.0,199.0,4.0,
98,MEDIUM,Azerbaijan,2.4,18259.0,219.0,2.0,1998.0
99,MEDIUM,Sri Lanka,6.7,23613.0,114.0,4.0,1976.0
100,MEDIUM,Maldives,1.3,1125.0,343.0,22.0,1952.0
101,MEDIUM,Jamaica,34.4,4913.0,182.0,5.0,
102,MEDIUM,Cape Verde,,755.0,178.0,5.0,1981.0
103,MEDIUM,El Salvador,31.5,12176.0,174.0,6.0,1983.0
104,MEDIUM,Algeria,1.4,42000.0,127.0,1.0,1993.0
105,MEDIUM,Viet Nam,,88414.0,105.0,12.0,
106,MEDIUM,Occupied Palestinian Territories,4.0,,,,
107,MEDIUM,Indonesia,1.1,99946.0,45.0,5.0,
108,MEDIUM,Syrian Arab Republic,1.1,10599.0,58.0,7.0,
109,MEDIUM,Turkmenistan,,22000.0,489.0,,1999.0
110,MEDIUM,Nicaragua,12.8,5610.0,98.0,7.0,1979.0
111,MEDIUM,Moldova,6.7,8876.0,247.0,5.0,1995.0
112,MEDIUM,Egypt,0.4,61845.0,87.0,4.0,
113,MEDIUM,Uzbekistan,,48000.0,184.0,,
114,MEDIUM,Mongolia,12.8,6998.0,269.0,4.0,
115,MEDIUM,Honduras,,11589.0,161.0,3.0,1956.0
116,MEDIUM,Kyrgyzstan,8.0,15744.0,292.0,5.0,1998.0
117,MEDIUM,Bolivia,2.8,7710.0,83.0,7.0,1997.0
118,MEDIUM,Guatemala,25.5,7227.0,57.0,5.0,
119,MEDIUM,Gabon,,2750.0,212.0,,
120,MEDIUM,Vanuatu,0.7,138.0,65.0,4.0,1980.0
121,MEDIUM,South Africa,47.5,157402.0,335.0,2.0,1997.0
122,MEDIUM,Tajikistan,7.6,10804.0,164.0,4.0,
123,MEDIUM,Sao Tome and Principe,6.2,155.0,82.0,2.0,1990.0
124,MEDIUM,Botswana,0.5,6259.0,348.0,5.0,
125,MEDIUM,Namibia,6.3,4814.0,267.0,2.0,1990.0
126,MEDIUM,Morocco,0.5,54542.0,175.0,2.0,1993.0
127,MEDIUM,Equatorial Guinea,,,,,
128,MEDIUM,India,3.7,332112.0,30.0,4.0,
129,MEDIUM,Solomon Islands,,297.0,62.0,1.0,1966.0
130,MEDIUM,Lao People's Democratic Republic,,4020.0,69.0,11.0,
131,MEDIUM,Cambodia,,8160.0,58.0,6.0,1989.0
132,MEDIUM,Myanmar,0.2,60000.0,120.0,18.0,
133,MEDIUM,Bhutan,,,,,2004.0
134,MEDIUM,Comoros,,200.0,30.0,,
135,MEDIUM,Ghana,,12736.0,55.0,2.0,1957.0
136,MEDIUM,Pakistan,0.0,89370.0,57.0,2.0,
137,MEDIUM,Mauritania,,815.0,26.0,3.0,1987.0
138,MEDIUM,Lesotho,50.7,2924.0,156.0,3.0,
139,MEDIUM,Congo,,918.0,38.0,,1982.0
140,MEDIUM,Bangladesh,,71200.0,50.0,3.0,
141,MEDIUM,Swaziland,13.6,2734.0,249.0,3.0,1968.0
142,MEDIUM,Nepal,3.4,7135.0,26.0,8.0,1997.0
143,MEDIUM,Madagascar,0.5,20294.0,107.0,3.0,1958.0
144,MEDIUM,Cameroon,,20000.0,125.0,,
145,MEDIUM,Papua New Guinea,9.1,4056.0,69.0,5.0,1950.0
146,MEDIUM,Haiti,,3670.0,43.0,7.0,1987.0
147,MEDIUM,Sudan,0.3,12000.0,36.0,2.0,
148,MEDIUM,Kenya,,47036.0,130.0,4.0,1987.0
149,MEDIUM,Djibouti,,384.0,61.0,,1995.0
150,MEDIUM,Timor-Leste,,320.0,41.0,,1999.0
151,MEDIUM,Zimbabwe,8.4,18033.0,139.0,3.0,
152,MEDIUM,Togo,,3200.0,65.0,2.0,1960.0
153,MEDIUM,Yemen,4.0,14000.0,83.0,,
154,MEDIUM,Uganda,7.4,26126.0,95.0,3.0,
155,MEDIUM,Gambia,,450.0,32.0,1.0,1981.0
156,LOW,Senegal,,5360.0,54.0,4.0,2004.0
157,LOW,Eritrea,,,,,
158,LOW,Nigeria,1.5,40444.0,30.0,2.0,
159,LOW,Tanzania (United Republic of),7.5,43911.0,113.0,3.0,
160,LOW,Guinea,,3070.0,37.0,2.0,
161,LOW,Rwanda,8.0,67000.0,691.0,3.0,
162,LOW,Angola,,6008.0,44.0,3.0,1992.0
163,LOW,Benin,,5834.0,75.0,4.0,1987.0
164,LOW,Malawi,,9656.0,74.0,1.0,1992.0
165,LOW,Zambia,8.1,14347.0,120.0,3.0,
166,LOW,Côte d'Ivoire,4.1,9274.0,49.0,2.0,2000.0
167,LOW,Burundi,,7969.0,106.0,3.0,
168,LOW,Congo (Democratic Republic of the),,30000.0,57.0,3.0,
169,LOW,Ethiopia,,65000.0,92.0,,
170,LOW,Chad,,3416.0,35.0,2.0,
171,LOW,Central African Republic,,4168.0,110.0,,1981.0
172,LOW,Mozambique,,10000.0,51.0,6.0,1990.0
173,LOW,Mali,,4407.0,33.0,2.0,1980.0
174,LOW,Niger,,5709.0,46.0,3.0,1976.0
175,LOW,Guinea-Bissau,,,,,1993.0
176,LOW,Burkina Faso,,2800.0,23.0,1.0,1988.0
177,LOW,Sierra Leone,,1740.0,32.0,,
